GCF_000005825.2	Bacillus pseudofirmus OF4
GCF_000214175.1	Hoyosella subflava DQS3-9A1
GCF_000214215.1	Marinomonas posidonica IVIA-Po-181
GCF_000214355.1	Treponema azotonutricium ZAS-9
GCF_000214375.1	Treponema primitia ZAS-2
GCF_000214415.1	Methanotorris igneus Kol 5
GCF_000214435.1	Desulfotomaculum nigrificans CO-1-SRB
GCF_000214665.1	Methylomonas methanica MC09
GCF_000214725.1	Methanobacterium paludis
GCF_000214785.1	Lactobacillus kefiranofaciens ZW3
GCF_000214825.1	Thioalkalimicrobium cyclicum ALM1
GCF_000215085.1	Desulfotomaculum ruminis DSM 2154
GCF_000215105.1	Isoptericola variabilis 225
GCF_000215325.1	Ralstonia solanacearum Po82
GCF_000215645.1	Corynebacterium ulcerans 809
GCF_000215705.1	Ramlibacter tataouinensis TTB310
GCF_000215745.1	Enterobacter aerogenes KCTC 2190
GCF_000215975.1	Thermodesulfobacterium geofontis OPF15
GCF_000215995.1	Pyrococcus yayanosii CH1
GCF_000217635.1	Buchnera aphidicola (Cinara tujafilina)
GCF_000217675.1	Vibrio anguillarum 775
GCF_000217715.1	Halopiger xanaduensis SH-6
GCF_000217795.1	Thermodesulfatator indicus DSM 15286
GCF_000217815.1	Pseudothermotoga thermarum DSM 5069
GCF_000217995.1	Methanosalsum zhilinae DSM 4017
GCF_000218545.1	Cellulomonas gilvus ATCC 13127
GCF_000218625.1	Flexistipes sinusarabici DSM 4947
GCF_000218875.1	Zymomonas mobilis subsp. pomaceae ATCC 29192
GCF_000218895.1	Runella slithyformis DSM 19594
GCF_000218915.1	Paenibacillus mucilaginosus KNP414
GCF_000219045.1	Francisella sp. TX077308
GCF_000219105.1	Myxococcus fulvus HW-1
GCF_000219175.1	Candidatus Moranella endobia PCIT
GCF_000219215.1	Cupriavidus necator N-1
GCF_000219355.1	Candidatus Midichloria mitochondrii IricVA
GCF_000219535.2	Brevibacillus laterosporus LMG 15441
GCF_000219585.1	Nitrosomonas sp. Is79A3
GCF_000219705.1	Pseudomonas putida S16
GCF_000219725.1	Treponema caldarium DSM 7334
GCF_000219805.1	Weissella koreensis KACC 15510
GCF_000219875.1	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
GCF_000219915.2	Advenella kashmirensis WT001
GCF_000220625.1	Capnocytophaga canimorsus Cc5
GCF_000221045.1	Collimonas fungivorans Ter331
GCF_000221185.1	Thermococcus sp. 4557
GCF_000222305.1	Borreliella bissettii DN127
GCF_000222485.1	Cyclobacterium marinum DSM 745
GCF_000222835.1	Borrelia afzelii PKo
GCF_000223215.1	Brachyspira intermedia PWS/A
GCF_000223395.1	Pyrolobus fumarii 1A
GCF_000223885.1	Stenotrophomonas maltophilia JV3
GCF_000223905.1	Haloarcula hispanica ATCC 33960
GCF_000224005.2	Marichromatium purpuratum 984
GCF_000224085.1	Muricauda ruestringensis DSM 13258
GCF_000224105.1	Mycoplasma putrefaciens KS1
GCF_000224675.1	Enterobacter asburiae LF7a
GCF_000224985.1	Lactobacillus ruminis ATCC 27782
GCF_000225325.1	Lactobacillus sanfranciscensis TMW 1.1304
GCF_000225345.1	Roseburia hominis A2-183
GCF_000225445.1	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)
GCF_000225465.1	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)
GCF_000226295.1	Chloracidobacterium thermophilum B
GCF_000226315.1	Micavibrio aeruginosavorus ARL-13
GCF_000226565.1	Glaciecola nitratireducens FR1064
GCF_000226625.1	Taylorella asinigenitalis MCE3
GCF_000227665.2	Thioalkalimicrobium aerophilum AL3
GCF_000227685.2	Thioalkalivibrio paradoxus ARh 1
GCF_000227705.2	Thermobacillus composti KWC4
GCF_000227745.2	Thiocystis violascens DSM 198
GCF_000230275.1	Acidaminococcus intestini RyC-MR95
GCF_000230555.1	Pelagibacterium halotolerans B2
GCF_000230695.2	Rhodanobacter denitrificans
GCF_000230715.2	Natronobacterium gregoryi SP2
GCF_000230735.2	Natrinema pellirubrum DSM 15624
GCF_000230895.2	Mycobacterium rhodesiae NBB3
GCF_000230955.2	Halobacterium sp. DL1
GCF_000230975.2	Hyphomicrobium denitrificans 1NES1
GCF_000230995.2	Mesorhizobium australicum WSM2073
GCF_000231385.2	Desulfosporosinus meridiei DSM 13257
GCF_000231405.2	Desulfitobacterium metallireducens DSM 15288
GCF_000233435.1	Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR
GCF_000233715.2	Desulfotomaculum gibsoniae DSM 7213
GCF_000233775.1	Thermovirga lienii DSM 17291
GCF_000233915.3	Pseudoxanthomonas spadix BD-a59
GCF_000235405.2	Fervidobacterium pennivorans DSM 9078
GCF_000235565.1	Methanosaeta harundinacea 6Ac
GCF_000235585.1	Paenibacillus terrae HPL-003
GCF_000235605.1	Desulfosporosinus orientis DSM 765
GCF_000235685.2	Methanolinea tarda NOBI-1
GCF_000236065.1	Burkholderia sp. YI23
GCF_000236405.1	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu
GCF_000236585.1	Thermus sp. CCB_US3_UF1
GCF_000236665.1	Dechlorosoma suillum PS
GCF_000236685.1	Sphaerochaeta pleomorpha str. Grapes
GCF_000236705.1	Owenweeksia hongkongensis DSM 17368
GCF_000236925.1	Staphylococcus argenteus
GCF_000237085.1	[Clostridium] clariflavum DSM 19732
GCF_000237145.1	Actinoplanes sp. SE50/110
GCF_000237205.1	Simkania negevensis Z
GCF_000237305.1	Streptomyces cattleya NRRL 8057 = DSM 46488
GCF_000237995.1	Pediococcus claussenii ATCC BAA-344
GCF_000238215.1	Tannerella forsythia 92A2
GCF_000238995.1	Mycoplasma haemocanis str. Illinois
GCF_000239975.1	Enterobacter cloacae EcWSU1
GCF_000240075.2	Flavobacterium columnare ATCC 49512
GCF_000240325.1	Klebsiella michiganensis
GCF_000241025.1	Aggregatibacter actinomycetemcomitans ANH9381
GCF_000241055.1	Oenococcus kitaharae DSM 17330
GCF_000241385.1	Vibrio sp. EJY3
GCF_000241875.1	Corynebacterium diphtheriae 31A
GCF_000242255.2	Frateuria aurantia DSM 6220
GCF_000242335.1	Prevotella dentalis DSM 3688
GCF_000242455.2	Singulisphaera acidiphila DSM 18658
GCF_000242595.2	Spirochaeta africana DSM 8902
GCF_000242635.2	Solitalea canadensis DSM 3403
GCF_000242895.2	Bacillus sp. 1NLA3E
GCF_000242915.1	Sulfurimonas gotlandica GD1
GCF_000242935.2	Opitutaceae bacterium TAV5
GCF_000243075.1	Oceanimonas sp. GK1
GCF_000243115.2	Niabella soli DSM 19437
GCF_000243135.2	Desulfitobacterium dichloroeliminans LMG P-21439
GCF_000243155.2	Desulfitobacterium dehalogenans ATCC 51507
GCF_000244875.1	Clostridium sp. BNL1100
GCF_000245355.1	Streptomyces hygroscopicus subsp. jinggangensis 5008
GCF_000246835.1	Streptococcus infantarius subsp. infantarius CJ18
GCF_000246855.1	Niastella koreensis GR20-10
GCF_000246985.2	Thermococcus litoralis DSM 5473
GCF_000247565.1	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)
GCF_000247605.1	Acetobacterium woodii DSM 1030
GCF_000247715.1	Gordonia polyisoprenivorans VH2
GCF_000248095.2	Lactobacillus mucosae LM1
GCF_000250635.1	Saprospira grandis str. Lewin
GCF_000250675.2	Nocardia brasiliensis ATCC 700358
GCF_000251105.1	Methanocella conradii HZ254
GCF_000252445.1	Deinococcus gobiensis I-0
GCF_000252975.1	Listeria ivanovii subsp. ivanovii PAM 55
GCF_000252995.1	Salmonella bongori NCTC 12419
GCF_000253015.1	Bartonella clarridgeiae 73
GCF_000253035.1	Parachlamydia acanthamoebae UV-7
GCF_000253055.1	Thermoproteus tenax Kra 1
GCF_000253155.1	Streptococcus oralis Uo5
GCF_000253255.1	Novosphingobium sp. PP1Y
GCF_000253275.1	Flavobacterium branchiophilum FL-15
GCF_000253295.1	Hyphomicrobium sp. MC1
GCF_000253315.1	Streptococcus salivarius JIM8777
GCF_000255115.2	Desulfosporosinus acidiphilus SJ4
GCF_000255135.1	Marinitoga piezophila KA3
GCF_000255295.1	Corallococcus coralloides DSM 2259
GCF_000255355.1	Rickettsia helvetica C9P9
GCF_000257545.3	Pseudomonas mandelii JR-1
GCF_000258405.1	Ignavibacterium album JCM 16511
GCF_000259175.1	Providencia stuartii MRSN 2154
GCF_000259255.1	Helicobacter cetorum MIT 00-7128
GCF_000259275.1	Helicobacter cetorum MIT 99-5656
GCF_000260965.1	Methylophaga frappieri
GCF_000260985.3	Methylophaga nitratireducenticrescens
GCF_000261025.1	Prevotella intermedia 17
GCF_000261345.2	Streptomyces globisporus C-1027
GCF_000262165.1	Mycobacterium sp. MOTT36Y
GCF_000262205.1	Francisella noatunensis subsp. orientalis str. Toba 04
GCF_000262305.1	Shimwellia blattae DSM 4481 = NBRC 105725
GCF_000262325.2	Pseudomonas fluorescens A506
GCF_000262715.1	Blattabacterium sp. (Blaberus giganteus)
GCF_000263195.1	Emticicia oligotrophica DSM 17448
GCF_000263735.1	Pyrococcus sp. ST04
GCF_000264455.2	Tistrella mobilis KA081020-065
GCF_000264495.1	Thermogladius cellulolyticus 1633
GCF_000265295.1	Sulfurospirillum barnesii SES-3
GCF_000265365.1	Alistipes finegoldii DSM 17242
GCF_000265385.1	Aequorivita sublithincola DSM 14238
GCF_000265405.1	Belliella baltica DSM 15883
GCF_000265425.1	Terriglobus roseus DSM 18391
GCF_000265465.1	Ornithobacterium rhinotracheale DSM 15997
GCF_000265505.1	Flexibacter litoralis DSM 6794
GCF_000265525.1	Thermococcus cleftensis
GCF_000266885.1	Turneriella parva DSM 21527
GCF_000266905.1	Mycobacterium chubuense NBB4
GCF_000266925.1	Acetomicrobium mobile DSM 13181
GCF_000266945.1	Desulfomonile tiedjei DSM 6799
GCF_000267545.1	Pseudomonas stutzeri CCUG 29243
GCF_000269925.1	Lactococcus garvieae ATCC 49156
GCF_000269985.1	Kitasatospora setae KM-6054
GCF_000270085.1	Erysipelothrix rhusiopathiae str. Fujisawa
GCF_000270165.1	Streptococcus pasteurianus ATCC 43144
GCF_000270205.1	Candidatus Arthromitus sp. SFB-mouse-Japan
GCF_000270245.1	Microlunatus phosphovorus NM-1
GCF_000270285.1	Eggerthella sp. YY7918
GCF_000270305.1	Clostridium sp. SY8519
GCF_000271325.1	Solibacillus silvestris StLB046
GCF_000271405.2	Enterococcus hirae ATCC 9790
GCF_000271665.2	Pelosinus fermentans JBW45
GCF_000277715.1	Pseudopropionibacterium propionicum F0230a
GCF_000277795.1	Mycoplasma wenyonii str. Massachusetts
GCF_000279145.1	Melioribacter roseus P3M-2
GCF_000279165.1	Pseudomonas stutzeri DSM 10701
GCF_000280925.3	Myxococcus hansupus
GCF_000281175.1	Caldilinea aerophila DSM 14535 = NBRC 104270
GCF_000281695.1	Natrinema sp. J7-2
GCF_000283275.1	Marinobacter sp. BSs20148
GCF_000283475.1	Ralstonia solanacearum PSI07
GCF_000283515.1	Sphingobium sp. SYK-6
GCF_000283535.1	Pseudogulbenkiania sp. NH8B
GCF_000283555.1	Candidatus Arthromitus sp. SFB-rat-Yit
GCF_000283575.1	Oscillibacter valericigenes Sjm18-20
GCF_000283615.1	Tetragenococcus halophilus NBRC 12172
GCF_000283655.1	Azospirillum lipoferum 4B
GCF_000283975.1	Melissococcus plutonius DAT561
GCF_000284015.1	Blastococcus saxobsidens DD2
GCF_000284035.1	Nocardia cyriacigeorgica GUH-2
GCF_000284095.1	Selenomonas ruminantium subsp. lactilytica TAM6421
GCF_000284115.1	Phycisphaera mikurensis NBRC 102666
GCF_000284155.1	Rickettsia australis str. Cutlack
GCF_000284235.1	Arcobacter sp. L
GCF_000284255.1	Rubrivivax gelatinosus IL144
GCF_000284275.1	Bradyrhizobium sp. S23321
GCF_000284295.1	Actinoplanes missouriensis 431
GCF_000284315.1	Leptospirillum ferrooxidans C2-3
GCF_000284335.1	Caldisericum exile AZM16c01
GCF_000284375.1	Bradyrhizobium japonicum USDA 6
GCF_000284415.1	Pararhodospirillum photometricum DSM 122
GCF_000284515.1	Halobacillus halophilus DSM 2266
GCF_000284635.1	Helicobacter cinaedi PAGU611
GCF_000286275.1	Enterobacter cloacae subsp. cloacae ENHKU01
GCF_000286435.2	Morganella morganii subsp. morganii KT
GCF_000287215.2	Aeromonas media WS
GCF_000287295.1	Candidatus Carsonella ruddii HT isolate Thao2000
GCF_000287335.1	secondary endosymbiont of Ctenarytaina eucalypti
GCF_000287355.1	secondary endosymbiont of Heteropsylla cubana
GCF_000292685.1	Candidatus Portiera aleyrodidarum BT-B-HRs
GCF_000292915.1	Burkholderia cepacia GG4
GCF_000293885.2	Pseudomonas fluorescens NCIMB 11764
GCF_000294515.1	Nocardiopsis alba ATCC BAA-2165
GCF_000294775.2	Bacillus oceanisediminis 2691
GCF_000296215.2	Bradyrhizobium sp. CCGE-LA001
GCF_000297055.2	Sulfuricella denitrificans skB26
GCF_000297075.2	Pseudomonas pseudoalcaligenes CECT 5344
GCF_000299095.1	alpha proteobacterium HIMB5
GCF_000299115.1	alpha proteobacterium HIMB59
GCF_000299235.1	Leptospirillum ferriphilum ML-04
GCF_000299335.2	Alcanivorax pacificus W11-5
GCF_000299355.1	[Clostridium] acidurici 9a
GCF_000299395.1	Candidatus Nitrosopumilus sp. AR2
GCF_000299435.1	Exiguobacterium antarcticum B7
GCF_000299965.1	Cycloclasticus sp. P1
GCF_000299995.1	Alteromonas macleodii str. 'Black Sea 11'
GCF_000300005.1	Alcanivorax dieselolei B5
GCF_000300135.1	Leuconostoc carnosum JB16
GCF_000300235.2	Thalassospira xiamenensis M-5 = DSM 17429
GCF_000300255.2	Candidatus Methanomethylophilus alvus Mx1201
GCF_000300295.3	Piscirickettsia salmonis LF-89 = ATCC VR-1361
GCF_000300455.3	Kosakonia sacchari SP1
GCF_000300475.1	Bacillus thuringiensis MC28
GCF_000302535.1	Acidovorax sp. KKS102
GCF_000304215.1	Bifidobacterium asteroides PRL2011
GCF_000304315.1	Methylocystis sp. SC2
GCF_000304355.2	Methanoculleus bourgensis MS2
GCF_000304455.1	Cardinium endosymbiont cEper1 of Encarsia pergandiella
GCF_000305775.1	Dehalobacter sp. DCA
GCF_000305785.2	Simiduia agarivorans SA1 = DSM 21679
GCF_000305935.1	Thermacetogenium phaeum DSM 12270
GCF_000306725.1	Methanolobus psychrophilus R15
GCF_000306765.2	Haloferax mediterranei ATCC 33500
GCF_000306785.1	Modestobacter marinus
GCF_000306805.1	Streptococcus intermedius JTH08
GCF_000306885.1	Wolbachia endosymbiont of Onchocerca ochengi
GCF_000307105.1	Desulfobacula toluolica Tol2
GCF_000307165.1	Amphibacillus xylanus NBRC 15112
GCF_000309885.1	Thermus oshimai JL-2
GCF_000310065.1	Acidipropionibacterium acidipropionici ATCC 4875
GCF_000310105.2	Pseudoalteromonas sp. Bsw20308
GCF_000311765.1	Gluconobacter oxydans H24
GCF_000312705.1	Anabaena sp. 90
GCF_000313175.2	Leptospira santarosai serovar Shermani str. LT 821
GCF_000316175.1	Pseudomonas sp. UW4
GCF_000316515.1	Cyanobium gracile PCC 6307
GCF_000316575.1	Calothrix sp. PCC 7507
GCF_000316605.1	Leptolyngbya sp. PCC 7376
GCF_000316625.1	Nostoc sp. PCC 7107
GCF_000316645.1	Nostoc sp. PCC 7524
GCF_000316665.1	Rivularia sp. PCC 7116
GCF_000316685.1	Synechococcus sp. PCC 6312
GCF_000317025.1	Pleurocapsa sp. PCC 7327
GCF_000317045.1	Geitlerinema sp. PCC 7407
GCF_000317065.1	Pseudanabaena sp. PCC 7367
GCF_000317085.1	Synechococcus sp. PCC 7502
GCF_000317105.1	Oscillatoria acuminata PCC 6304
GCF_000317125.1	Chroococcidiopsis thermalis PCC 7203
GCF_000317305.3	Mycobacterium neoaurum VKM Ac-1815D
GCF_000317435.1	Calothrix sp. PCC 6303
GCF_000317475.1	Oscillatoria nigro-viridis PCC 7112
GCF_000317495.1	Crinalium epipsammum PCC 9333
GCF_000317515.1	Microcoleus sp. PCC 7113
GCF_000317555.1	Gloeocapsa sp. PCC 7428
GCF_000317575.1	Stanieria cyanosphaera PCC 7437
GCF_000317615.1	Dactylococcopsis salina PCC 8305
GCF_000317635.1	Halothece sp. PCC 7418
GCF_000317675.1	Cyanobacterium aponinum PCC 10605
GCF_000317695.1	Anabaena cylindrica PCC 7122
GCF_000317795.1	Caldisphaera lagunensis DSM 15908
GCF_000317835.1	Deinococcus peraridilitoris DSM 19664
GCF_000317875.1	Helicobacter pylori Aklavik86
GCF_000317895.1	Bdellovibrio bacteriovorus str. Tiberius
GCF_000317975.2	Carnobacterium maltaromaticum LMA28
GCF_000319225.1	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)
GCF_000319245.1	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)
GCF_000319385.1	Candidatus Endolissoclinum faulkneri L2
GCF_000319575.2	Spiribacter salinus M19-40
GCF_000321415.2	Thioalkalivibrio nitratireducens DSM 14787
GCF_000325705.1	Echinicola vietnamensis DSM 17526
GCF_000325745.1	Liberibacter crescens BT-1
GCF_000327045.1	Thioflavicoccus mobilis 8321
GCF_000327065.1	Pseudomonas stutzeri RCH2
GCF_000327485.1	Methanoregula formicica SMSP
GCF_000327505.1	Aciduliprofundum sp. MAR08-339
GCF_000328565.1	Mycobacterium sp. JS623
GCF_000328625.1	Halobacteroides halobius DSM 5150
GCF_000328665.1	Methanomethylovorans hollandica DSM 15978
GCF_000328685.1	Natronococcus occultus SP4
GCF_000328705.1	Saccharothrix espanaensis DSM 44229
GCF_000328725.1	Mycoplasma cynos C142
GCF_000330845.1	Enterobacteriaceae bacterium strain FGI 57
GCF_000330865.1	Serratia marcescens FGI94
GCF_000330885.1	Rhizobium tropici CIAT 899
GCF_000331735.1	Myxococcus stipitatus DSM 14675
GCF_000331995.1	[Clostridium] stercorarium subsp. stercorarium DSM 8532
GCF_000332115.1	Nonlabens dokdonensis DSW-6
GCF_000332735.1	Staphylococcus warneri SG1
GCF_000336425.1	Serratia marcescens WW4
GCF_000336465.1	Pseudomonas poae RE*1-1-14
GCF_000340435.2	Mycobacterium haemophilum DSM 44634
GCF_000340795.1	Candidatus Kinetoplastibacterium desouzaii TCC079E
GCF_000340865.1	Candidatus Kinetoplastibacterium oncopeltii TCC290E
GCF_000340885.1	Clostridium saccharoperbutylacetonicum N1-4(HMT)
GCF_000340905.1	Candidatus Kinetoplastibacterium galatii TCC219
GCF_000341345.1	Corynebacterium halotolerans YIM 70093 = DSM 44683
GCF_000341355.1	Bartonella australis Aust/NH1
GCF_000341385.1	Bartonella vinsonii subsp. berkhoffii str. Winnie
GCF_000341395.1	Desulfocapsa sulfexigens DSM 10523
GCF_000341465.2	Bordetella holmesii F627
GCF_000342265.1	beta proteobacterium CB
GCF_000344785.1	Corynebacterium callunae DSM 20147
GCF_000344805.1	Bradyrhizobium oligotrophicum S58
GCF_000347595.1	Bibersteinia trehalosi USDA-ARS-USMARC-192
GCF_000347635.1	Paraglaciecola psychrophila 170
GCF_000347675.2	Sphingomonas sp. MM-1
GCF_000347695.1	Bifidobacterium thermophilum RBL67
GCF_000348725.1	Bdellovibrio exovorus JSS
GCF_000348745.1	Micavibrio aeruginosavorus EPB
GCF_000348785.1	Ilumatobacter coccineus YM16-304
GCF_000348805.1	Blattabacterium sp. (Panesthia angustipennis spadica) str. BPAA
GCF_000349765.1	Mannheimia haemolytica USDA-ARS-USMARC-183
GCF_000349845.1	Pseudomonas denitrificans ATCC 13867
GCF_000349945.1	Azoarcus sp. KH32C
GCF_000350305.1	Thermoplasmatales archaeon BRNA1
GCF_000355675.1	Thalassolituus oleivorans MIL-1
GCF_000355695.1	Clavibacter michiganensis subsp. nebraskensis NCPPB 2581
GCF_000359525.1	Streptomyces albus J1074
GCF_000367205.1	Cutibacterium avidum 44067
GCF_000367425.1	Raoultella ornithinolytica B6
GCF_000376545.2	Ruegeria mobilis F1926
GCF_000376585.1	Wolbachia endosymbiont of Drosophila simulans wNo
GCF_000385525.1	Burkholderia thailandensis MSMB121
GCF_000385565.1	Archaeoglobus sulfaticallidus PM70-1
GCF_000385925.1	Streptococcus cristatus AS 1.3089
GCF_000385945.1	Streptomyces fulvissimus DSM 40593
GCF_000389635.1	Clostridium pasteurianum BC1
GCF_000389965.1	Actinoplanes sp. N902-109
GCF_000400635.2	Amycolatopsis orientalis HCCB10007
GCF_000400935.1	Spiroplasma chrysopicola DF-1
GCF_000400955.1	Spiroplasma syrphidicola EA-1
GCF_000402035.1	Burkholderia sp. RPE64
GCF_000403645.1	Salinarchaeum sp. Harcht-Bsk1
GCF_000404165.1	Methanobrevibacter sp. AbM4
GCF_000404225.1	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
GCF_000410575.1	Pseudomonas putida H8234
GCF_000412265.2	Streptomyces sp. Mg1
GCF_000412695.1	Pseudomonas resinovorans NBRC 106553
GCF_000416365.2	Mycobacterium sp. VKM Ac-1817D
GCF_000418325.1	Sorangium cellulosum So0157-2
GCF_000418365.1	Corynebacterium terpenotabidum Y-11
GCF_000422085.1	Serratia liquefaciens ATCC 27592
GCF_000439435.1	Spiroplasma taiwanense CT-1
GCF_000439455.1	Spiroplasma diminutum CUAS-1
GCF_000441535.1	Streptococcus lutetiensis 033
GCF_000441555.1	Candidatus Profftella armatura
GCF_000442435.1	Rhizobium etli bv. mimosae str. Mim1
GCF_000442645.1	Corynebacterium maris DSM 45190
GCF_000444875.1	Streptomyces collinus Tu 365
GCF_000444995.1	Paracoccus aminophilus JCM 7686
GCF_000445425.4	Borrelia miyamotoi LB-2001
GCF_000445995.2	Geobacillus genomosp. 3
GCF_000446015.1	Thermofilum sp. 1910b
GCF_000447675.1	Treponema pedis str. T A4
GCF_000452705.1	Pseudomonas syringae CC1557
GCF_000455605.1	Flavobacterium indicum GPTSA100-9 = DSM 17447
GCF_000463015.1	Variovorax paradoxus B4
GCF_000463395.1	Streptococcus constellatus subsp. pharyngis C232
GCF_000463465.1	Streptococcus anginosus C1051
GCF_000463505.1	Streptococcus anginosus C238
GCF_000465235.1	Campylobacter coli CVM N29710
GCF_000468615.2	Cellulophaga baltica 18
GCF_000470655.1	Halorhabdus tiamatea SARL4B
GCF_000470775.1	Leifsonia xyli subsp. cynodontis DSM 46306
GCF_000471025.2	Chlamydia gallinacea 08-1274/3
GCF_000471925.1	Ralstonia pickettii DTP0602
GCF_000473245.1	Bacillus infantis NRRL B-14911
GCF_000473305.1	Bacteroidales bacterium CF
GCF_000473995.1	Clostridium saccharobutylicum DSM 13864
GCF_000477415.1	Mycoplasma parvum str. Indiana
GCF_000477435.1	Candidatus Symbiobacter mobilis CR
GCF_000478825.2	Synechocystis sp. PCC 6714
GCF_000478885.1	Adlercreutzia equolifaciens DSM 19450
GCF_000478905.1	Candidatus Pantoea carbekii
GCF_000479315.1	Streptococcus sp. I-P16
GCF_000484535.1	Gloeobacter kilaueensis JS1
GCF_000485905.1	Spiribacter sp. UAH-SP71
GCF_000494755.1	Actinoplanes friuliensis DSM 7358
GCF_000494915.1	Pseudomonas sp. VLB120
GCF_000495505.1	Campylobacter fetus subsp. testudinum 03-427
GCF_000495935.2	Elizabethkingia anophelis NUHP1
GCF_000496595.1	Candidatus Liberibacter americanus str. Sao Paulo
GCF_000496635.1	Exiguobacterium sp. MH3
GCF_000498975.2	Pseudomonas mosselii SJ10
GCF_000499645.1	Rhizobium sp. IRBG74
GCF_000499665.2	Rickettsia monacensis
GCF_000499765.1	Methanobacterium sp. MB1
GCF_000500935.1	Spiroplasma apis B31
GCF_000503895.1	Hyphomicrobium nitrativorans NL23
GCF_000504105.1	Pseudothermotoga hypogea DSM 11164 = NBRC 106472
GCF_000504125.1	Enterococcus mundtii QU 25
GCF_000507245.1	Salinispira pacifica
GCF_000508205.1	Pseudomonas sp. TKP
GCF_000508225.1	Ehrlichia muris AS145
GCF_000508245.1	Mycoplasma ovis str. Michigan
GCF_000510265.1	Candidatus Endolissoclinum faulkneri L5
GCF_000511305.1	Rhodococcus pyridinivorans SB3094
GCF_000511355.1	Leisingera methylohalidivorans DSM 14336
GCF_000511385.1	Phaeobacter gallaeciensis DSM 26640
GCF_000511405.1	Paenibacillus larvae subsp. larvae DSM 25430
GCF_000512125.1	Escherichia albertii KF1
GCF_000512185.1	Aeromonas hydrophila 4AK4
GCF_000512205.2	Sphingomonas sanxanigenens DSM 19645 = NX02
GCF_000512355.1	Legionella oakridgensis ATCC 33761 = DSM 21215
GCF_000512735.1	Thermocrinis ruber
GCF_000512895.1	Dehalobacter restrictus DSM 9455
GCF_000512915.1	Barnesiella viscericola DSM 18177
GCF_000513295.1	Magnetospirillum gryphiswaldense MSR-1 v2
GCF_000513475.1	Candidatus Babela massiliensis
GCF_000517305.1	Pseudomonas cichorii JBC1
GCF_000517365.1	Spiroplasma mirum ATCC 29335
GCF_000517405.1	Candidatus Sodalis pierantonius str. SOPE
GCF_000517445.1	Thermococcus paralvinellae
GCF_000517565.1	Desulfurella acetivorans A63
GCF_000517605.1	Rhizobium leguminosarum bv. trifolii WSM1689
GCF_000517625.1	Halostagnicola larsenii XH-48
GCF_000520015.2	Chania multitudinisentens RB-25
GCF_000520875.1	Rhizobium leguminosarum bv. trifolii CB782
GCF_000521505.1	Advenella mimigardefordensis DPN7
GCF_000521525.1	Buchnera aphidicola str. USDA (Myzus persicae)
GCF_000521605.1	Mannheimia sp. USDA-ARS-USMARC-1261
GCF_000521655.1	Mannheimia varigena USDA-ARS-USMARC-1296
GCF_000522545.2	Paraburkholderia caribensis MBA4
GCF_000523235.1	Nocardia nova SH22a
GCF_000524555.1	Mycoplasma bovoculi M165/69
GCF_000525635.1	Kutzneria albida DSM 43870
GCF_000525655.1	Corynebacterium falsenii DSM 44353
GCF_000525675.1	Bdellovibrio bacteriovorus W
GCF_000550765.1	Komagataeibacter xylinus E25
GCF_000550785.1	Corynebacterium casei LMG S-19264
GCF_000550805.1	Corynebacterium vitaeruminis DSM 20294
GCF_000565175.1	Spiroplasma culicicola AES-1
GCF_000565215.1	Spiroplasma sabaudiense Ar-1343
GCF_000568815.1	Sulfurospirillum multivorans DSM 12446
GCF_000576555.1	Hymenobacter swuensis DY53
GCF_000577275.1	Rhizobium favelukesii
GCF_000577895.1	Clostridium bornimense
GCF_000583875.1	Chlamydia avium 10DC88
GCF_000585495.1	Thermococcus nautili
GCF_000585995.1	Pseudomonas brassicacearum
GCF_000590455.1	Bacillus pumilus
GCF_000590475.1	Pseudomonas stutzeri
GCF_000590495.2	Pandoraea pnomenusa 3kgm
GCF_000590555.1	Corynebacterium argentoratense DSM 44202
GCF_000590925.1	Roseibacterium elongatum DSM 19469
GCF_000591055.1	Natronomonas moolapensis 8.8.11
GCF_000597865.1	Peptoclostridium acidaminophilum DSM 3953
GCF_000597885.1	Flammeovirgaceae bacterium 311
GCF_000599545.1	Rhodococcus opacus PD630
GCF_000599985.1	Gilliamella apicola
GCF_000600005.1	Snodgrassella alvi wkB2
GCF_000600105.1	Lysinibacillus varians
GCF_000612055.1	Trueperella pyogenes
GCF_000612505.1	Paenibacillus sabinae T27
GCF_000612685.1	Castellaniella defragrans 65Phen
GCF_000619905.2	Nitrosospira briensis C-128
GCF_000626635.1	Draconibacterium orientale
GCF_000626675.1	Corynebacterium glyciniphilum AJ 3170
GCF_000632395.1	Enterobacter asburiae L1
GCF_000632475.1	Azospirillum brasilense
GCF_000632805.1	Dyella jiangningensis
GCF_000632845.1	Ehrlichia sp. HF
GCF_000632985.1	Neorickettsia helminthoeca str. Oregon
GCF_000635915.2	Brevundimonas naejangsanensis
GCF_000648515.1	Citrobacter freundii CFNIH1
