	s	c	o	f	n
GCF_000223395.1_ASM22339v1_protein.faa.named.faa	0.53	0.08	0.16	0.34	0.34
GCF_000020265.1_ASM2026v1_protein.faa.named.faa	0.33	0.05	0.61	0.4	0.82
GCF_001412615.1_ASM141261v1_protein.faa.named.faa	0.48	0.07	0.06	0.33	0.36
GCF_000011945.1_ASM1194v1_protein.faa.named.faa	0.06	0.03	0.17	0.35	0.33
GCF_000732945.1_ASM73294v1_protein.faa.named.faa	0.05	0.0	0.22	0.32	0.37
GCF_000756775.1_PRJEB6478_assembly_1_protein.faa.named.faa	0.04	0.05	0.35	0.77	0.69
GCF_000185745.1_ASM18574v1_protein.faa.named.faa	0.02	0.02	0.1	0.43	0.43
GCF_000263195.1_ASM26319v1_protein.faa.named.faa	0.11	0.06	0.35	0.51	0.64
GCF_000212355.1_ASM21235v1_protein.faa.named.faa	0.26	0.12	0.31	0.32	0.35
GCF_000246835.1_ASM24683v1_protein.faa.named.faa	0.2	0.01	0.09	0.07	0.14
GCF_001011115.1_ASM101111v1_protein.faa.named.faa	0.14	0.09	0.12	0.12	0.37
GCF_000187935.1_ASM18793v2_protein.faa.named.faa	0.23	0.08	0.01	0.1	0.09
GCF_000252975.1_ASM25297v1_protein.faa.named.faa	0.02	0.01	0.27	0.14	0.29
GCF_000196355.1_ASM19635v1_protein.faa.named.faa	0.02	0.04	0.31	0.69	0.65
GCF_000972865.1_ASM97286v1_protein.faa.named.faa	0.16	0.07	0.27	0.64	0.66
GCF_000227705.2_ASM22770v3_protein.faa.named.faa	0.04	0.06	0.32	0.35	0.57
GCF_000007305.1_ASM730v1_protein.faa.named.faa	0.46	0.12	0.12	0.03	0.33
GCF_000816185.1_ASM81618v1_protein.faa.named.faa	0.28	0.03	0.2	0.64	0.52
GCF_000178955.2_ASM17895v2_protein.faa.named.faa	0.12	0.07	0.46	0.53	0.73
GCF_000175215.2_ASM17521v2_protein.faa.named.faa	0.23	0.03	0.37	0.56	0.67
GCF_000175095.2_ASM17509v2_protein.faa.named.faa	0.15	0.03	0.34	0.71	0.66
GCF_000007125.1_ASM712v1_protein.faa.named.faa	0.04	0.02	0.35	0.38	0.63
GCF_000253035.1_ASM25303v1_protein.faa.named.faa	0.01	0.13	0.1	0.42	0.54
GCF_000961095.1_ASM96109v1_protein.faa.named.faa	0.04	0.03	0.36	0.33	0.6
GCF_000803645.1_ASM80364v1_protein.faa.named.faa	0.13	0.03	0.36	0.68	0.66
GCF_000284415.1_ASM28441v2_protein.faa.named.faa	0.3	0.12	0.54	0.51	0.62
GCF_000020425.1_ASM2042v1_protein.faa.named.faa	0.01	0.0	0.19	0.08	0.15
GCF_000023105.1_ASM2310v1_protein.faa.named.faa	0.06	0.03	0.26	0.24	0.65
GCF_000815225.1_ASM81522v1_protein.faa.named.faa	0.01	0.02	0.11	0.15	0.33
GCF_000834515.1_ASM83451v1_protein.faa.named.faa	0.16	0.06	0.28	0.62	0.71
GCF_000183745.1_ASM18374v1_protein.faa.named.faa	0.14	0.03	0.21	0.6	0.6
GCF_000312705.1_ASM31270v1_protein.faa.named.faa	0.24	0.14	0.67	0.37	0.75
GCF_000348725.1_ASM34872v1_protein.faa.named.faa	0.01	0.01	0.15	0.39	0.4
GCF_001281315.1_ASM128131v1_protein.faa.named.faa	0.39	0.0	0.39	0.25	0.58
GCF_001458695.1_NiCh1_protein.faa.named.faa	0.21	0.05	0.22	0.56	0.74
GCF_000025285.1_ASM2528v1_protein.faa.named.faa	0.71	0.29	0.14	0.07	0.3
GCF_000737595.1_ASM73759v1_protein.faa.named.faa	0.14	0.06	0.82	0.33	0.63
GCF_000092825.1_ASM9282v1_protein.faa.named.faa	0.36	0.02	0.46	0.21	0.53
GCF_000012685.1_ASM1268v1_protein.faa.named.faa	0.01	0.03	0.31	0.51	0.72
GCF_000815065.1_ASM81506v1_protein.faa.named.faa	0.13	0.14	0.0	0.02	0.24
GCF_000471025.2_ASM47102v2_protein.faa.named.faa	0.06	0.14	0.02	0.06	0.07
GCF_000508245.1_ASM50824v1_protein.faa.named.faa	0.01	0.0	0.01	0.07	0.01
GCF_001444425.1_ASM144442v1_protein.faa.named.faa	0.27	0.02	0.38	0.41	0.49
GCF_000093085.1_ASM9308v1_protein.faa.named.faa	0.14	0.03	0.26	0.74	0.53
GCF_000190575.1_ASM19057v1_protein.faa.named.faa	0.03	0.02	0.08	0.08	0.32
GCF_000093025.1_ASM9302v1_protein.faa.named.faa	0.07	0.18	0.31	0.68	0.72
GCF_000262165.1_ASM26216v1_protein.faa.named.faa	0.08	0.03	0.42	0.21	0.71
GCF_000953715.1_DTL3_protein.faa.named.faa	0.27	0.07	0.04	0.08	0.17
GCF_000018785.1_ASM1878v1_protein.faa.named.faa	0.21	0.25		0.11	0.08
GCF_000265385.1_ASM26538v1_protein.faa.named.faa	0.35	0.13	0.22	0.37	0.3
GCF_000013665.1_ASM1366v1_protein.faa.named.faa	0.0	0.03	0.39	0.66	0.54
GCF_000452705.1_ASM45270v3_protein.faa.named.faa	0.13	0.04	0.3	0.22	0.66
GCF_000725345.1_ASM72534v1_protein.faa.named.faa	0.21	0.09	0.29	0.44	0.6
GCF_000024105.1_ASM2410v1_protein.faa.named.faa	0.08	0.01		0.21	0.14
GCF_000328685.1_ASM32868v1_protein.faa.named.faa	0.11	0.12	0.27	0.18	0.63
GCF_000327505.1_ASM32750v1_protein.faa.named.faa	0.36	0.06		0.04	0.28
GCF_000626635.1_ASM62663v1_protein.faa.named.faa	0.01	0.03	0.33	0.57	0.46
GCF_000143725.1_ASM14372v1_protein.faa.named.faa	0.04	0.02	0.01	0.16	0.21
GCF_000144645.1_ASM14464v1_protein.faa.named.faa	0.11	0.15		0.06	0.22
GCF_000020505.1_ASM2050v1_protein.faa.named.faa	0.49	0.09	0.56	0.66	0.57
GCF_000829055.1_ASM82905v1_protein.faa.named.faa	0.06	0.07	0.05	0.05	0.1
GCF_000010005.1_ASM1000v1_protein.faa.named.faa	0.08	0.04	0.09	0.08	0.14
GCF_000317635.1_ASM31763v1_protein.faa.named.faa	0.26	0.11	0.76	0.4	0.74
GCF_001189495.1_ASM118949v1_protein.faa.named.faa	0.06	0.05	0.12	0.11	0.23
GCF_000208405.1_ASM20840v1_protein.faa.named.faa	0.28	0.11	0.16	0.4	0.42
GCF_000148625.1_ASM14862v1_protein.faa.named.faa	0.03	0.11	0.0	0.15	0.33
GCF_000011605.1_ASM1160v1_protein.faa.named.faa	0.18	0.09	0.44	0.43	0.7
GCF_000027265.1_ASM2726v1_protein.faa.named.faa	0.13	0.04	0.34	0.46	0.59
GCF_000755985.1_ASM75598v1_protein.faa.named.faa	0.06	0.04	0.42	0.45	0.75
GCF_000950575.1_ASM95057v1_protein.faa.named.faa	0.41	0.0	0.39	0.22	0.5
GCF_000024825.1_ASM2482v1_protein.faa.named.faa	0.04	0.03	0.27	0.95	0.53
GCF_001456065.2_ASM145606v2_protein.faa.named.faa	0.12	0.1	0.34	0.07	0.37
GCF_000019225.1_ASM1922v1_protein.faa.named.faa	0.1	0.03	0.39	0.75	0.54
GCF_001483865.1_ASM148386v1_protein.faa.named.faa	0.04	0.07	0.58	0.4	0.73
GCF_001281465.1_ASM128146v1_protein.faa.named.faa	0.02	0.04	0.31	0.41	0.72
GCF_000015165.1_ASM1516v1_protein.faa.named.faa	0.09	0.07	0.68	0.76	0.86
GCF_000024645.1_ASM2464v1_protein.faa.named.faa	0.11	0.06	0.2	0.43	0.63
GCF_000177255.2_ASM17725v2_protein.faa.named.faa	0.13	0.12	0.71	0.91	0.81
GCF_000016985.1_ASM1698v1_protein.faa.named.faa	0.11	0.16	0.36	0.22	0.46
GCF_000317025.1_ASM31702v1_protein.faa.named.faa	0.22	0.1	0.58	0.46	0.82
GCF_000185245.1_ASM18524v1_protein.faa.named.faa	0.12	0.03	0.15	0.38	0.38
GCF_001688665.1_ASM168866v1_protein.faa.named.faa	0.07	0.08	0.35	0.13	0.45
GCF_000018185.1_ASM1818v1_protein.faa.named.faa	0.17	0.0	0.07	0.08	0.09
GCF_000015505.1_ASM1550v1_protein.faa.named.faa	0.15	0.08	0.54	0.35	0.79
GCF_001534745.1_ASM153474v1_protein.faa.named.faa	0.16	0.03	0.27	0.49	0.67
GCF_000418325.1_ASM41832v1_protein.faa.named.faa	0.25	0.08	0.4	0.7	0.77
GCF_000014525.1_ASM1452v1_protein.faa.named.faa	0.12	0.02	0.15	0.05	0.14
GCF_000009765.2_ASM976v2_protein.faa.named.faa	0.12	0.04	0.35	0.25	0.72
GCF_001643955.1_ASM164395v1_protein.faa.named.faa	0.32	0.06	0.23	0.76	0.52
GCF_000017565.1_ASM1756v1_protein.faa.named.faa	0.4	0.02	0.38	0.54	0.65
GCF_000026205.1_ASM2620v1_protein.faa.named.faa	0.04	0.1	0.02	0.03	0.02
GCF_000196615.1_ASM19661v1_protein.faa.named.faa	0.02	0.05	0.29	0.47	0.65
GCF_001460635.1_htyphlonius_mit97-6810_protein.faa.named.faa	0.19	0.03	0.05	0.74	0.44
GCF_000019905.1_ASM1990v1_protein.faa.named.faa	0.32	0.1	0.24	0.42	0.34
GCF_000176035.2_ASM17603v2_protein.faa.named.faa	0.09	0.09	0.61	0.49	0.79
GCF_000309885.1_ASM30988v1_protein.faa.named.faa	0.32	0.05	0.34	0.71	0.67
GCF_000340795.1_ASM34079v1_protein.faa.named.faa	0.02	0.04	0.09	0.05	0.27
GCF_000723465.1_Rb803_protein.faa.named.faa	0.14	0.08	0.46	0.07	0.28
GCF_000283655.1_ASM28365v1_protein.faa.named.faa	0.06	0.2	0.52	0.66	0.76
GCF_000006945.1_ASM694v1_protein.faa.named.faa	0.22	0.07	0.19	0.54	0.65
GCF_000317795.1_ASM31779v1_protein.faa.named.faa	0.34	0.02		0.2	0.4
GCF_000219105.1_ASM21910v1_protein.faa.named.faa	0.02	0.03	0.33	0.51	0.7
GCF_000215645.1_ASM21564v1_protein.faa.named.faa	0.36	0.16	0.32	0.59	0.37
GCF_001078275.1_ASM107827v1_protein.faa.named.faa	0.1	0.04	0.35	0.5	0.73
GCF_000697965.2_ASM69796v2_protein.faa.named.faa	0.26	0.05	0.33	0.79	0.77
GCF_000283535.1_ASM28353v1_protein.faa.named.faa	0.03	0.06	0.3	0.33	0.72
GCF_000012545.1_ASM1254v1_protein.faa.named.faa	0.29	0.79	0.38	0.07	0.33
GCF_000737325.1_ASM73732v2_protein.faa.named.faa	0.15	0.02	0.34	0.46	0.64
GCF_000013945.1_ASM1394v1_protein.faa.named.faa	0.08	0.03	0.33	0.4	0.64
GCF_000007925.1_ASM792v1_protein.faa.named.faa	0.12	0.06	0.7	0.33	0.47
GCF_000024985.1_ASM2498v1_protein.faa.named.faa	0.14	0.03	0.12	0.31	0.58
GCF_000565175.1_ASM56517v1_protein.faa.named.faa	0.13	0.05	0.04	0.02	0.01
GCF_000512185.1_ASM51218v1_protein.faa.named.faa	0.13	0.07	0.27	0.82	0.68
GCF_000007845.1_ASM784v1_protein.faa.named.faa	0.14	0.05	0.37	0.36	0.64
GCF_000953435.1_CEM1.1_protein.faa.named.faa	0.11	0.02	0.09	0.1	0.29
GCF_000014885.1_ASM1488v1_protein.faa.named.faa	0.16	0.05	0.26	0.91	0.6
GCF_000219585.1_ASM21958v1_protein.faa.named.faa	0.0	0.04	0.34	0.72	0.66
GCF_000732905.1_ASM73290v1_protein.faa.named.faa	0.23	0.01	0.08	0.29	0.06
GCF_000204295.1_ASM20429v1_protein.faa.named.faa	0.01	0.05	0.35	0.66	0.71
GCF_000025525.1_ASM2552v1_protein.faa.named.faa	0.42	0.9	0.48	0.03	0.36
GCF_001027025.1_ASM102702v1_protein.faa.named.faa	0.21	0.07	0.01	0.39	0.28
GCF_000969645.2_ASM96964v2_protein.faa.named.faa	0.06	0.04	0.42	0.68	0.69
GCF_000007065.1_ASM706v1_protein.faa.named.faa	0.35	0.92	0.44	0.22	0.48
GCF_000463505.1_ASM46350v1_protein.faa.named.faa	0.23	0.11	0.05	0.13	0.09
GCF_000599985.1_ASM59998v1_protein.faa.named.faa	0.23	0.04	0.21	0.2	0.37
GCF_000020465.1_ASM2046v1_protein.faa.named.faa	0.55	0.13	0.49	0.61	0.58
GCF_000014405.1_ASM1440v1_protein.faa.named.faa	0.22	0.01	0.09	0.37	0.07
GCF_000009165.1_ASM916v1_protein.faa.named.faa	0.2	0.04	0.34	0.69	0.69
GCF_000966445.2_ASM96644v2_protein.faa.named.faa	0.04	0.01	0.13	0.03	0.13
GCF_000175115.2_ASM17511v2_protein.faa.named.faa	0.34	0.11	0.46	0.76	0.72
GCF_000176835.2_ASM17683v2_protein.faa.named.faa	0.08	0.06	0.26	0.57	0.69
GCF_000816785.1_ASM81678v1_protein.faa.named.faa	0.28	0.03	0.2	0.72	0.5
GCF_000062885.1_ASM6288v1_protein.faa.named.faa	0.23	0.06	0.32	0.25	0.75
GCF_000785555.1_ASM78555v1_protein.faa.named.faa	0.15	0.02	0.24	0.34	0.46
GCF_000011965.2_ASM1196v2_protein.faa.named.faa	0.16	0.06	0.36	0.59	0.7
GCF_000064305.2_ASM6430v2_protein.faa.named.faa	0.01	0.06	0.16	0.51	0.42
GCF_000305775.1_ASM30577v1_protein.faa.named.faa	0.27	0.19	0.32	0.17	0.45
GCF_000014745.1_ASM1474v1_protein.faa.named.faa	0.01	0.02	0.31	0.4	0.66
GCF_000972745.1_ASM97274v1_protein.faa.named.faa	0.28	0.04	0.33	0.54	0.69
GCF_000743945.1_ASM74394v1_protein.faa.named.faa	0.08	0.04	0.22	0.3	0.47
GCF_000191585.1_ASM19158v1_protein.faa.named.faa	0.34	0.88	0.41	0.12	0.42
GCF_000585495.1_ASM58549v1_protein.faa.named.faa	0.34	0.11		0.02	0.29
GCF_000511385.1_ASM51138v1_protein.faa.named.faa	0.11	0.06	0.35	0.34	0.69
GCF_000317305.3_ASM31730v3_protein.faa.named.faa	0.3	0.02	0.44	0.21	0.73
GCF_000025505.1_ASM2550v1_protein.faa.named.faa	0.5	0.37	0.25	0.56	0.5
GCF_000317065.1_ASM31706v1_protein.faa.named.faa	0.12	0.09	0.66	0.57	0.67
GCF_000025085.1_ASM2508v1_protein.faa.named.faa	0.11	0.01	0.23	0.17	0.39
GCF_000007985.2_ASM798v2_protein.faa.named.faa	0.33	0.12	0.52	0.87	0.75
GCF_001677275.1_ASM167727v1_protein.faa.named.faa	0.11	0.04	0.29	0.8	0.5
GCF_000024865.1_ASM2486v1_protein.faa.named.faa	0.23	0.04	0.39	0.24	0.76
GCF_000166335.1_ASM16633v1_protein.faa.named.faa	0.28	0.15	0.06	0.04	0.32
GCF_000013085.1_ASM1308v1_protein.faa.named.faa	0.04	0.14	0.46	0.6	0.7
GCF_000152825.2_ASM15282v2_protein.faa.named.faa	0.04	0.03	0.29	0.36	0.61
GCF_000344805.1_ASM34480v1_protein.faa.named.faa	0.06	0.07	0.68	0.74	0.88
GCF_000010785.1_ASM1078v1_protein.faa.named.faa	0.58	0.1	0.66	0.46	0.68
GCF_000196535.1_ASM19653v1_protein.faa.named.faa	0.3	0.03		0.05	0.38
GCF_000204565.1_ASM20456v1_protein.faa.named.faa	0.02	0.03	0.04	0.06	0.2
GCF_000204135.1_ASM20413v1_protein.faa.named.faa	0.04	0.12	0.03	0.05	0.07
GCF_000158275.2_ASM15827v2_protein.faa.named.faa	0.05	0.03	0.08	0.1	0.18
GCF_001399775.1_ASM139977v1_protein.faa.named.faa	0.32	0.04	0.37	0.41	0.61
GCF_000225345.1_ASM22534v1_protein.faa.named.faa	0.0	0.05	0.07	0.09	0.18
GCF_000463465.1_ASM46346v1_protein.faa.named.faa	0.2	0.17		0.09	0.07
GCF_001305615.1_ASM130561v1_protein.faa.named.faa	0.15	0.07	0.59	0.64	0.8
GCF_000981785.1_ASM98178v1_protein.faa.named.faa	0.17	0.13	0.67	0.31	0.71
GCF_000009945.1_ASM994v1_protein.faa.named.faa	0.04	0.12	0.01	0.06	0.07
GCF_000145035.1_ASM14503v1_protein.faa.named.faa	0.04	0.13	0.09	0.07	0.23
GCF_000317435.1_ASM31743v1_protein.faa.named.faa	0.25	0.12	0.65	0.35	0.78
GCF_000023265.1_ASM2326v1_protein.faa.named.faa	0.11	0.03	0.27	0.33	0.55
GCF_000953635.1_LMI_protein.faa.named.faa	0.06	0.04	0.21	0.56	0.5
GCF_000241055.1_ASM24105v1_protein.faa.named.faa	0.18	0.0	0.08	0.02	0.09
GCF_000063505.1_ASM6350v1_protein.faa.named.faa	0.15	0.09	0.77	0.36	0.63
GCF_001189535.1_ASM118953v1_protein.faa.named.faa	0.01	0.03	0.35	0.52	0.67
GCF_000016065.1_ASM1606v1_protein.faa.named.faa	0.14	0.05	0.27	0.96	0.54
GCF_000153485.2_ASM15348v2_protein.faa.named.faa	0.0	0.06	0.3	0.38	0.39
GCF_001011155.1_ASM101115v1_protein.faa.named.faa	0.05	0.06	0.34	0.68	0.71
GCF_000789255.1_ASM78925v1_protein.faa.named.faa	0.49	0.37	0.29	0.53	0.51
GCF_000015085.1_ASM1508v1_protein.faa.named.faa	0.27	0.06	0.22	0.71	0.54
GCF_000025625.1_ASM2562v1_protein.faa.named.faa	0.04	0.07	0.33	0.15	0.52
GCF_000021045.1_ASM2104v1_protein.faa.named.faa	0.12	0.09	0.5	0.6	0.75
GCF_000186385.1_ASM18638v1_protein.faa.named.faa	0.03	0.02	0.37	0.27	0.5
GCF_000009825.1_ASM982v1_protein.faa.named.faa	0.1	0.02	0.33	0.4	0.53
GCF_000007605.1_ASM760v1_protein.faa.named.faa	0.03	0.12	0.03	0.05	0.06
GCF_000327045.1_ASM32704v1_protein.faa.named.faa	0.57	0.14	0.46	0.81	0.72
GCF_000011345.1_ASM1134v1_protein.faa.named.faa	0.18	0.11	0.64	0.42	0.57
GCF_000025225.2_ASM2522v1_protein.faa.named.faa	0.03	0.04	0.14	0.29	0.14
GCF_000010705.1_ASM1070v1_protein.faa.named.faa	0.25	0.0	0.01	0.06	0.05
GCF_000325745.1_ASM32574v1_protein.faa.named.faa	0.02	0.0	0.21	0.07	0.36
GCF_000277795.1_ASM27779v1_protein.faa.named.faa	0.01	0.0		0.26	0.01
GCF_000013005.1_ASM1300v1_protein.faa.named.faa	0.2	0.04	0.35	0.48	0.65
GCF_000952035.1_ASM95203v1_protein.faa.named.faa	0.11	0.04	0.41	0.23	0.73
GCF_000784965.1_ASM78496v1_protein.faa.named.faa	0.01	0.05	0.26	0.61	0.63
GCF_000012625.1_ASM1262v1_protein.faa.named.faa	0.13	0.06	0.81	0.33	0.6
GCF_000013025.1_ASM1302v1_protein.faa.named.faa	0.05	0.03	0.34	0.39	0.62
GCF_000271325.1_ASM27132v1_protein.faa.named.faa	0.23	0.02	0.43	0.33	0.47
GCF_000347595.1_ASM34759v1_protein.faa.named.faa	0.13	0.02		0.48	0.31
GCF_000635915.2_ASM63591v2_protein.faa.named.faa	0.22	0.01	0.07	0.39	0.46
GCF_000835205.1_ASM83520v1_protein.faa.named.faa	0.02	0.06	0.41	0.54	0.77
GCF_001688965.1_ASM168896v1_protein.faa.named.faa	0.04	0.05	0.16	0.13	0.3
GCF_001559255.1_ASM155925v1_protein.faa.named.faa	0.08	0.06	0.38	0.56	0.7
GCF_000020525.1_ASM2052v1_protein.faa.named.faa	0.4	0.14	0.37	0.43	0.53
GCF_000597865.1_ASM59786v1_protein.faa.named.faa	0.28	0.07	0.07	0.04	0.38
GCF_001050435.1_ASM105043v1_protein.faa.named.faa	0.02	0.01		0.51	0.12
GCF_000069185.1_ASM6918v1_protein.faa.named.faa	0.19	0.02	0.44	0.23	0.72
GCF_000146185.1_ASM14618v1_protein.faa.named.faa	0.01	0.08	0.25	0.07	0.22
GCF_000006805.1_ASM680v1_protein.faa.named.faa	0.11	0.05	0.06	0.25	0.45
GCF_000661895.1_ASM66189v1_protein.faa.named.faa	0.25	0.06	0.37	0.14	0.61
GCF_001190945.1_ASM119094v1_protein.faa.named.faa	0.2	0.03	0.35	0.2	0.66
GCF_001636015.1_ASM163601v1_protein.faa.named.faa	0.04	0.03	0.21	0.46	0.5
GCF_000828895.1_ASM82889v1_protein.faa.named.faa	0.08	0.05	0.3	0.33	0.64
GCF_000145295.1_ASM14529v1_protein.faa.named.faa	0.36	0.91	0.43	0.04	0.38
GCF_000980815.1_ASM98081v1_protein.faa.named.faa	0.2	0.01	0.3	0.3	0.39
GCF_000015825.1_ASM1582v1_protein.faa.named.faa	0.3	0.8	0.44	0.1	0.43
GCF_000972765.1_ASM97276v1_protein.faa.named.faa	0.06	0.03	0.32	0.58	0.54
GCF_000024945.1_ASM2494v1_protein.faa.named.faa	0.22	0.05	0.22	0.15	0.31
GCF_000060285.1_ASM6028v1_protein.faa.named.faa	0.03	0.01	0.27	0.14	0.29
GCF_000024125.1_ASM2412v1_protein.faa.named.faa	0.01	0.02	0.32	0.41	0.46
GCF_000025125.1_ASM2512v1_protein.faa.named.faa	0.3	0.06	0.54	0.3	0.42
GCF_000155735.2_ASM15573v2_protein.faa.named.faa	0.03	0.06	0.45	0.38	0.66
GCF_000520875.1_ASM52087v1_protein.faa.named.faa	0.33	0.04	0.58	0.59	0.81
GCF_000023185.1_ASM2318v1_protein.faa.named.faa	0.04	0.05	0.59	0.62	0.83
GCF_000585995.1_ASM58599v1_protein.faa.named.faa	0.09	0.04	0.3	0.71	0.74
GCF_000968055.1_ASM96805v1_protein.faa.named.faa	0.05	0.01	0.07	0.11	0.07
GCF_001304715.1_ASM130471v1_protein.faa.named.faa	0.09	0.09	0.36	0.09	0.33
GCF_001190925.1_ASM119092v1_protein.faa.named.faa	0.19	0.07	0.55	0.88	0.82
GCF_000204155.1_ASM20415v1_protein.faa.named.faa	0.12	0.03	0.34	0.22	0.66
GCF_000092105.1_ASM9210v1_protein.faa.named.faa	0.29	0.18	0.41	0.55	0.66
GCF_000147695.2_ASM14769v3_protein.faa.named.faa	0.19	0.06	0.19	0.09	0.37
GCF_000018045.1_ASM1804v1_protein.faa.named.faa	0.14	0.07	0.22	0.76	0.67
GCF_000020205.1_ASM2020v1_protein.faa.named.faa	0.04	0.04	0.4	0.63	0.74
GCF_000019525.1_ASM1952v1_protein.faa.named.faa	0.11	0.06	0.23	0.95	0.73
GCF_000010345.1_ASM1034v1_protein.faa.named.faa	0.44	0.08	0.32	0.78	0.64
GCF_001025195.1_ASM102519v1_protein.faa.named.faa	0.06	0.01	0.13	0.02	0.13
GCF_000300135.1_ASM30013v1_protein.faa.named.faa	0.09	0.0	0.08	0.05	0.05
GCF_000568815.1_ASM56881v1_protein.faa.named.faa	0.38	0.09	0.56	0.77	0.68
GCF_000018145.1_ASM1814v1_protein.faa.named.faa	0.17	0.11	0.55	0.71	0.8
GCF_001021065.1_ASM102106v1_protein.faa.named.faa	0.16	0.02	0.26	0.24	0.51
GCF_000166275.1_ASM16627v1_protein.faa.named.faa	0.05	0.02	0.26	0.42	0.49
GCF_000590495.2_ASM59049v2_protein.faa.named.faa	0.08	0.04	0.32	0.58	0.74
GCF_000007345.1_ASM734v1_protein.faa.named.faa	0.34	0.92	0.43	0.24	0.53
GCF_000023465.1_ASM2346v1_protein.faa.named.faa	0.29	0.04	0.4	0.5	0.45
GCF_000758665.1_ASM75866v1_protein.faa.named.faa	0.04	0.05	0.56	0.37	0.59
GCF_001484605.1_ASM148460v1_protein.faa.named.faa	0.45	0.02	0.34	0.24	0.56
GCF_000349765.1_ASM34976v1_protein.faa.named.faa	0.11	0.02		0.48	0.28
GCF_001182765.1_WH8103.1_protein.faa.named.faa	0.11	0.07	0.81	0.33	0.6
GCF_001693675.1_ASM169367v1_protein.faa.named.faa	0.14	0.04	0.32	0.21	0.71
GCF_000021765.1_ASM2176v1_protein.faa.named.faa	0.2	0.05	0.31	0.84	0.72
GCF_000025845.1_ASM2584v1_protein.faa.named.faa	0.11	0.14	0.0	0.35	0.24
GCF_001189555.1_ASM118955v1_protein.faa.named.faa	0.27	0.11	0.26	0.34	0.37
GCF_000317615.1_ASM31761v1_protein.faa.named.faa	0.16	0.1	0.81	0.39	0.62
GCF_000012145.1_ASM1214v1_protein.faa.named.faa	0.01	0.01	0.17	0.38	0.32
GCF_000016965.1_ASM1696v1_protein.faa.named.faa	0.19	0.14	0.35	0.17	0.54
GCF_000221045.1_ASM22104v1_protein.faa.named.faa	0.24	0.04	0.44	0.37	0.73
GCF_000013205.1_ASM1320v1_protein.faa.named.faa	0.22	0.1	0.7	0.33	0.6
GCF_000508225.1_ASM50822v1_protein.faa.named.faa	0.03	0.02	0.18	0.35	0.33
GCF_000416365.2_ASM41636v2_protein.faa.named.faa	0.14	0.03	0.42	0.2	0.72
GCF_000008065.1_ASM806v1_protein.faa.named.faa	0.18	0.01	0.08	0.37	0.07
GCF_000550765.1_ASM55076v1_protein.faa.named.faa	0.05	0.03	0.32	0.71	0.64
GCF_000025345.1_ASM2534v1_protein.faa.named.faa	0.07	0.04	0.33	0.27	0.74
GCF_000015725.1_ASM1572v1_protein.faa.named.faa	0.12	0.19	0.41	0.44	0.74
GCF_000007645.1_ASM764v1_protein.faa.named.faa	0.1	0.01	0.24	0.21	0.4
GCF_001267925.1_ASM126792v1_protein.faa.named.faa	0.3	0.05	0.38	0.65	0.71
GCF_000008725.1_ASM872v1_protein.faa.named.faa	0.05	0.14	0.02	0.06	0.05
GCF_000213215.1_ASM21321v1_protein.faa.named.faa	0.24	0.04	0.05	0.2	0.41
GCF_000183365.1_ASM18336v1_protein.faa.named.faa	0.08	0.05	0.04	0.03	0.0
GCF_000172155.1_ASM17215v1_protein.faa.named.faa	0.01	0.04	0.4	0.42	0.64
GCF_000018605.1_ASM1860v1_protein.faa.named.faa	0.38	0.06	0.11	0.02	0.32
GCF_000214785.1_ASM21478v1_protein.faa.named.faa	0.14	0.01	0.11	0.51	0.06
GCF_000258405.1_ASM25840v1_protein.faa.named.faa	0.17	0.05	0.12	0.68	0.47
GCF_000316685.1_ASM31668v1_protein.faa.named.faa	0.07	0.08	0.66	0.56	0.55
GCF_000013245.1_ASM1324v1_protein.faa.named.faa	0.14	0.04	0.15	0.39	0.39
GCF_000465235.1_ASM46523v1_protein.faa.named.faa	0.33	0.04	0.23	0.71	0.53
GCF_000237305.1_ASM23730v1_protein.faa.named.faa	0.08	0.04	0.42	0.24	0.72
GCF_000021325.1_ASM2132v1_protein.faa.named.faa	0.07	0.06	0.63	0.63	0.76
GCF_000023145.1_ASM2314v1_protein.faa.named.faa	0.46	0.11	0.27	0.28	0.36
GCF_000227665.2_ASM22766v3_protein.faa.named.faa	0.12	0.05	0.38	0.31	0.68
GCF_000784875.1_ASM78487v3_protein.faa.named.faa	0.11	0.04	0.3	0.45	0.63
GCF_001610975.1_ASM161097v1_protein.faa.named.faa	0.1	0.03	0.34	0.8	0.63
GCF_001643975.1_ASM164397v1_protein.faa.named.faa	0.35	0.05	0.24	0.76	0.54
GCF_000816105.1_ASM81610v1_protein.faa.named.faa	0.35	0.13		0.1	0.31
GCF_001606005.1_ASM160600v1_protein.faa.named.faa	0.1	0.03	0.23	0.23	0.52
GCF_000020905.1_ASM2090v1_protein.faa.named.faa	0.28	0.05		0.01	0.21
GCF_000092125.1_ASM9212v1_protein.faa.named.faa	0.3	0.06	0.32	0.53	0.7
GCF_001632845.1_ASM163284v1_protein.faa.named.faa	0.32	0.13	0.47	0.77	0.67
GCF_000230955.2_ASM23095v3_protein.faa.named.faa	0.18	0.07	0.34	0.25	0.54
GCF_000583875.1_ASM58387v1_protein.faa.named.faa	0.06	0.12	0.01	0.06	0.06
GCF_000024085.1_ASM2408v1_protein.faa.named.faa	0.09	0.03	0.22	0.39	0.53
GCF_900087055.1_31289_E01_protein.faa.named.faa	0.17	0.06	0.21	0.74	0.64
